"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21691","Login Test for US Region","Mobile Safari","Wed Sep 04 22:04:43 IST 2024","passed","Wed Sep 04 22:05:05 IST 2024","Login Tests for Different Regions","login/test/login.spec.js","",""
"","21995","Login Test for Indonesia Region","Mobile Chrome","Wed Sep 04 22:04:21 IST 2024","passed","Wed Sep 04 22:04:43 IST 2024","Login Tests for Different Regions","login/test/login.spec.js","",""
"","120003","Login and switch between modules in mobile view","Mobile Chrome","Wed Sep 04 22:04:36 IST 2024","broken","Wed Sep 04 22:06:36 IST 2024","Login Tests for Different Regions > Amber Chatbot Mobile View Tests","login/test/login.spec.js","",""
"","24686","Login Test for EU Region","webkit","Wed Sep 04 22:03:37 IST 2024","passed","Wed Sep 04 22:04:01 IST 2024","Login Tests for Different Regions","login/test/login.spec.js","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","12000","Login Test for IN Region","chromium","Thu Sep 05 13:00:17 IST 2024","failed","Thu Sep 05 13:00:29 IST 2024","Login Tests for Different Regions","login/test/login.spec.js","",""
"","120010","Login and switch between modules in mobile view","webkit","Wed Sep 04 22:03:40 IST 2024","broken","Wed Sep 04 22:05:40 IST 2024","Login Tests for Different Regions > Amber Chatbot Mobile View Tests","login/test/login.spec.js","",""
"","26208","Login Test for EU Region","Mobile Chrome","Wed Sep 04 22:04:17 IST 2024","passed","Wed Sep 04 22:04:43 IST 2024","Login Tests for Different Regions","login/test/login.spec.js","",""
"","24129","Login Test for EU Region","Mobile Safari","Wed Sep 04 22:04:59 IST 2024","passed","Wed Sep 04 22:05:24 IST 2024","Login Tests for Different Regions","login/test/login.spec.js","",""
"","22671","Login Test for US Region","Mobile Chrome","Wed Sep 04 22:03:58 IST 2024","passed","Wed Sep 04 22:04:21 IST 2024","Login Tests for Different Regions","login/test/login.spec.js","",""
"","120074","Tenure People Page Export","Mobile Safari","Wed Sep 04 23:11:35 IST 2024","broken","Wed Sep 04 23:13:36 IST 2024","Tenure Test Cases","tenure/test/tenure.spec.js","",""
